Name,Prev. Season,Position,Service Time,Salary,G_x,PA_x,H_x,AVG_x,1B_x,2B_x,3B_x,HR_x,BB%_x,K%_x,BB/K_x,BABIP_x,wOBA_x,wRAA_x,wRC_x,RE24_x,O-Swing%_x,Z-Swing%_x,Swing%_x,O-Contact%_x,Z-Contact%_x,Contact%_x,SwStr%_x,EV_x,LA_x,HardHit%_x,Barrel%_x,OPS_x,SB_run,CS_run,UBR_x,Inn_x,E_x,DRS_x,UZR_x,RAA_x,FRM_x,SB_def,CS_def,G_y,PA_y,H_y,AVG_y,1B_y,2B_y,3B_y,HR_y,BB%_y,K%_y,BB/K_y,BABIP_y,wOBA_y,wRAA_y,wRC_y,RE24_y,O-Swing%_y,Z-Swing%_y,Swing%_y,O-Contact%_y,Z-Contact%_y,Contact%_y,SwStr%_y,EV_y,LA_y,HardHit%_y,Barrel%_y,OPS_y,SB_run,CS_run,UBR_y,Inn_y,E_y,DRS_y,UZR_y,RAA_y,FRM_y,SB_def,CS_def,Inn,E,DRS,UZR,RAA,FRM,SB_def,CS_def
Adam Jones,2010,CF,3,3250000,149.0,621.0,165.0,0.284,116.0,25.0,5.0,19.0,0,0,0.19,0.328,0.336,7.7,79.0,-4.91,0,0,0,0,0,0,0,0.0,0.0,0,0,0.767,7.0,7.0,2.8,1298.33,7.0,-6.0,-3.8,0.0,0.0,0.0,0.0,149.0,621.0,165.0,0.284,116.0,25.0,5.0,19.0,3.7,19.2,0.19,0.328,0.336,7.7,79.0,-4.91,39.5,71.0,53.8,62.0,84.0,75.1,13.3,0.0,0.0,0.0,0.0,0.767,7.0,7.0,2.8,1298.33,7.0,-6.0,-3.8,0.0,0.0,0.0,0.0,1298.33,7.0,-6.0,-3.8,0.0,0.0,0.0,0.0
Alberto Callaspo,2010,3B,3,2000000,146.0,601.0,149.0,0.265,110.0,27.0,2.0,10.0,0,0,0.74,0.269,0.297,-11.7,57.0,-19.4,0,0,0,0,0,0,0,0.0,0.0,0,0,0.675,5.0,3.0,-2.3,1236.0,11.0,4.0,3.4,0.0,0.0,0.0,0.0,146.0,601.0,149.0,0.265,110.0,27.0,2.0,10.0,5.2,7.0,0.74,0.269,0.297,-11.7,57.0,-19.4,27.9,68.3,46.4,85.2,95.2,92.0,3.8,0.0,0.0,0.0,0.0,0.675,5.0,3.0,-2.3,1236.0,11.0,4.0,3.4,0.0,0.0,0.0,0.0,1236.0,11.0,4.0,3.4,0.0,0.0,0.0,0.0
Alberto Gonzalez,2010,2B,2,600000,115.0,198.0,46.0,0.247,37.0,8.0,1.0,0.0,0,0,0.23,0.293,0.259,-9.8,13.0,-15.37,0,0,0,0,0,0,0,0.0,0.0,0,0,0.578,0.0,0.0,-1.6,393.6,5.0,7.0,7.4,0.0,0.0,0.0,0.0,115.0,198.0,46.0,0.247,37.0,8.0,1.0,0.0,3.5,15.2,0.23,0.293,0.259,-9.8,13.0,-15.37,44.0,68.5,55.5,70.4,91.5,82.6,9.7,0.0,0.0,0.0,0.0,0.578,0.0,0.0,-1.6,393.6,5.0,7.0,7.4,0.0,0.0,0.0,0.0,393.6,5.0,7.0,7.4,0.0,0.0,0.0,0.0
Alex Gordon,2010,LF,3,1400000,74.0,281.0,52.0,0.215,34.0,10.0,0.0,8.0,0,0,0.55,0.254,0.303,-4.0,28.0,-4.1,0,0,0,0,0,0,0,0.0,0.0,0,0,0.671,1.0,5.0,-2.3,598.33,7.0,-3.0,-3.1999999999999997,0.0,0.0,0.0,0.0,74.0,281.0,52.0,0.215,34.0,10.0,0.0,8.0,12.1,22.1,0.55,0.254,0.303,-4.0,28.0,-4.1,21.9,67.0,41.6,62.5,84.6,78.1,9.1,0.0,0.0,0.0,0.0,0.671,1.0,5.0,-2.3,598.33,7.0,-3.0,-3.1999999999999997,0.0,0.0,0.0,0.0,598.33,7.0,-3.0,-3.1999999999999997,0.0,0.0,0.0,0.0
Alexi Casilla,2010,SS,3,865000,69.0,170.0,42.0,0.276,30.0,7.0,4.0,1.0,0,0,0.76,0.304,0.321,0.1,20.0,1.8,0,0,0,0,0,0,0,0.0,0.0,0,0,0.726,6.0,1.0,0.5,370.33,5.0,2.0,3.0,0.0,0.0,0.0,0.0,69.0,170.0,42.0,0.276,30.0,7.0,4.0,1.0,7.6,10.0,0.76,0.304,0.321,0.1,20.0,1.8,32.4,56.3,44.0,82.2,92.7,88.7,4.9,0.0,0.0,0.0,0.0,0.726,6.0,1.0,0.5,370.33,5.0,2.0,3.0,0.0,0.0,0.0,0.0,370.33,5.0,2.0,3.0,0.0,0.0,0.0,0.0
Andres Torres,2010,CF,3,2100000,139.0,570.0,136.0,0.268,69.0,43.0,8.0,16.0,0,0,0.44,0.331,0.358,17.0,82.0,20.97,0,0,0,0,0,0,0,0.0,0.0,0,0,0.823,26.0,7.0,4.1,1119.4,1.0,14.0,21.7,0.0,0.0,0.0,0.0,139.0,570.0,136.0,0.268,69.0,43.0,8.0,16.0,9.8,22.5,0.44,0.331,0.358,17.0,82.0,20.97,28.6,64.7,44.5,61.0,85.9,77.0,10.2,0.0,0.0,0.0,0.0,0.823,26.0,7.0,4.1,1119.4,1.0,14.0,21.7,0.0,0.0,0.0,0.0,1119.4,1.0,14.0,21.7,0.0,0.0,0.0,0.0
Angel Pagan,2010,OF,4,3500000,151.0,633.0,168.0,0.29,119.0,31.0,7.0,11.0,0,0,0.45,0.331,0.334,6.8,79.0,22.56,0,0,0,0,0,0,0,0.0,0.0,0,0,0.765,37.0,9.0,3.7,1255.4,5.0,19.0,16.0,0.0,0.0,0.0,0.0,151.0,633.0,168.0,0.29,119.0,31.0,7.0,11.0,7.0,15.3,0.45,0.331,0.334,6.8,79.0,22.56,31.3,64.2,46.0,76.4,93.2,86.9,6.0,0.0,0.0,0.0,0.0,0.765,37.0,9.0,3.7,1255.4,5.0,19.0,16.0,0.0,0.0,0.0,0.0,1255.4,5.0,19.0,16.0,0.0,0.0,0.0,0.0
Asdrubal Cabrera,2010,SS,3,2025000,97.0,425.0,105.0,0.276,85.0,16.0,1.0,3.0,0,0,0.42,0.318,0.303,-6.1,43.0,-8.06,0,0,0,0,0,0,0,0.0,0.0,0,0,0.673,6.0,4.0,2.3,825.33,12.0,-4.0,-5.5,0.0,0.0,0.0,0.0,97.0,425.0,105.0,0.276,85.0,16.0,1.0,3.0,5.9,14.1,0.42,0.318,0.303,-6.1,43.0,-8.06,26.8,62.4,44.0,80.2,92.5,88.6,5.0,0.0,0.0,0.0,0.0,0.673,6.0,4.0,2.3,825.33,12.0,-4.0,-5.5,0.0,0.0,0.0,0.0,825.33,12.0,-4.0,-5.5,0.0,0.0,0.0,0.0
Ben Francisco,2010,OF,3,1175000,88.0,197.0,48.0,0.268,29.0,13.0,0.0,6.0,0,0,0.4,0.302,0.336,2.3,25.0,1.61,0,0,0,0,0,0,0,0.0,0.0,0,0,0.768,8.0,0.0,-0.5,286.67,0.0,-1.0,-1.9,0.0,0.0,0.0,0.0,88.0,197.0,48.0,0.268,29.0,13.0,0.0,6.0,7.1,17.8,0.4,0.302,0.336,2.3,25.0,1.61,23.7,66.5,44.7,59.1,89.2,81.1,8.3,0.0,0.0,0.0,0.0,0.768,8.0,0.0,-0.5,286.67,0.0,-1.0,-1.9,0.0,0.0,0.0,0.0,286.67,0.0,-1.0,-1.9,0.0,0.0,0.0,0.0
Brayan Pena,2010,C,3,660000,60.0,174.0,40.0,0.253,29.0,10.0,0.0,1.0,0,0,0.44,0.295,0.288,-4.5,15.0,-8.39,0,0,0,0,0,0,0,0.0,0.0,0,0,0.642,2.0,0.0,-1.7,337.33,3.0,3.0,0.0,0.0,5.7,29.0,12.0,60.0,174.0,40.0,0.253,29.0,10.0,0.0,1.0,6.9,15.5,0.44,0.295,0.288,-4.5,15.0,-8.39,34.9,65.2,49.0,72.6,88.9,82.7,8.3,0.0,0.0,0.0,0.0,0.642,2.0,0.0,-1.7,337.33,3.0,3.0,0.0,0.0,5.7,29.0,12.0,337.33,3.0,3.0,0.0,0.0,5.7,29.0,12.0
